Item-code,Annual Demand,Unit price,TotalC,DPercentage,CPercentage,CummulativeCP,CummulativeDP,Class
ASMB-R122 ,525070,441.0,231555870.0,0.7142857142857143,7.464984060156314,7.464984060156314,0.7142857142857143,A
ASMB-R75 ,653150,302.4,197512560.0,0.7142857142857143,6.3674831999753145,13.83246726013163,1.4285714285714286,A
ASMB-R52 ,464655,367.5,170760712.5,0.7142857142857143,5.505047213501585,19.337514473633213,2.142857142857143,A
ASMB-R105 ,307619,504.0,155039976.0,0.7142857142857143,4.998236276744,24.335750750377212,2.857142857142857,A
ASMB-R5 ,578000,252.0,145656000.0,0.7142857142857143,4.695712176357819,29.03146292673503,3.5714285714285716,A
ASMB-R108 ,779427,176.4,137490922.8,0.7142857142857143,4.432483387781025,33.46394631451606,4.285714285714286,A
ASMB-R135 ,255474,459.0,117262566.0,0.7142857142857143,3.7803541151560003,37.24430042967206,5.0,A
ASMB-R35 ,272221,420.0,114332820.0,0.7142857142857143,3.6859038764714587,40.930204306143516,5.714285714285714,A
ASMB-R121 ,107009,959.4,102664434.6,0.7142857142857143,3.309734138175639,44.23993844431916,6.428571428571429,A
ASMB-R38 ,689750,147.0,101393250.0,0.7142857142857143,3.2687532173442384,47.5086916616634,7.142857142857143,A
ASMB-R65 ,226075,382.5,86473687.5,0.7142857142857143,2.7877708252891122,50.296462486952514,7.857142857142858,A
ASMB-R110 ,324813,259.92,84425394.96000001,0.7142857142857143,2.7217372103276904,53.0181996972802,8.571428571428571,A
ASMB-R51 ,94690,799.5,75704655.0,0.7142857142857143,2.440594759505052,55.458794456785256,9.285714285714285,A
ASMB-R40 ,287437,216.6,62258854.199999996,0.7142857142857143,2.007124044001113,57.46591850078637,9.999999999999998,A
ASMB-R126 ,236914,261.0,61834554.0,0.7142857142857143,1.9934452967090617,59.459363797495435,10.714285714285712,A
ASMB-R119 ,206461,280.8,57974248.800000004,0.7142857142857143,1.8689953452336854,61.32835914272912,11.428571428571425,A
ASMB-R118 ,129847,432.0,56093904.0,0.7142857142857143,1.8083760918345044,63.13673523456362,12.142857142857139,A
ASMB-R104 ,79110,585.0,46279350.0,0.7142857142857143,1.491970858110378,64.62870609267401,12.857142857142852,A
ASMB-R56 ,209650,217.5,45598875.0,0.7142857142857143,1.47003345255752,66.09873954523152,13.571428571428566,A
ASMB-R131 ,227140,199.8,45382572.0,0.7142857142857143,1.4630601961802836,67.5617997414118,14.28571428571428,A
ASMB-R120 ,127926,342.0,43750692.0,0.7142857142857143,1.410451043200971,68.97225078461277,14.999999999999993,A
ASMB-R49 ,182700,234.0,42751800.0,0.7142857142857143,1.3782483922475848,70.35049917686035,15.714285714285706,B
ASMB-R48 ,114900,360.0,41364000.0,0.7142857142857143,1.3335079808786787,71.68400715773903,16.42857142857142,B
ASMB-R130 ,495515,81.0,40136715.0,0.7142857142857143,1.2939423116418376,72.97794946938087,17.142857142857135,B
ASMB-R34 ,70000,487.5,34125000.0,0.7142857142857143,1.1001344127135892,74.07808388209446,17.85714285714285,B
ASMB-R61 ,201000,166.5,33466500.0,0.7142857142857143,1.0789054453649622,75.15698932745943,18.571428571428566,B
ASMB-R50 ,113200,285.0,32262000.0,0.7142857142857143,1.0400743274129178,76.19706365487235,19.28571428571428,B
ASMB-R60 ,438500,67.5,29598750.0,0.7142857142857143,0.954215485664655,77.15127914053701,19.999999999999996,B
ASMB-R129 ,109365,261.0,28544265.0,0.7142857142857143,0.9202206069484562,78.07149974748548,20.71428571428571,B
ASMB-R124 ,79658,342.0,27243036.0,0.7142857142857143,0.8782711036013238,78.9497708510868,21.428571428571427,B
ASMB-R71 ,97743,270.0,26390610.0,0.7142857142857143,0.850790277904861,79.80056112899166,22.142857142857142,B
ASMB-R113 ,75720,342.0,25896240.0,0.7142857142857143,0.8348525943997117,80.63541372339137,22.857142857142858,B
ASMB-R127 ,97819,239.4,23417868.6,0.7142857142857143,0.7549539375608794,81.39036766095225,23.571428571428573,B
ASMB-R125 ,188720,118.8,22419936.0,0.7142857142857143,0.7227822161006963,82.11314987705295,24.28571428571429,B
ASMB-R59 ,96775,217.5,21048562.5,0.7142857142857143,0.6785713683341474,82.7917212453871,25.000000000000004,B
ASMB-R84 ,57075,360.0,20547000.0,0.7142857142857143,0.6624018103450878,83.45412305573218,25.71428571428572,B
ASMB-R54 ,70485,285.0,20088225.0,0.7142857142857143,0.6476116516581228,84.1017347073903,26.428571428571434,B
ASMB-R1 ,86490,225.0,19460250.0,0.7142857142857143,0.6273667605863626,84.72910146797668,27.14285714285715,B
ASMB-R102 ,490995,39.6,19443402.0,0.7142857142857143,0.6268236085106001,85.35592507648728,27.857142857142865,B
ASMB-R43 ,67000,285.0,19095000.0,0.7142857142857143,0.6155916955535821,85.97151677204086,28.57142857142858,B
ASMB-R87 ,55380,315.0,17444700.0,0.7142857142857143,0.5623887117791868,86.53390548382005,29.285714285714295,B
ASMB-R57 ,86557,199.5,17268121.5,0.7142857142857143,0.5566961085734625,87.09060159239351,30.00000000000001,B
ASMB-R101 ,931130,18.0,16760340.0,0.7142857142857143,0.5403260601547276,87.63092765254824,30.714285714285726,B
ASMB-R55 ,167000,99.0,16533000.0,0.7142857142857143,0.532996988876008,88.16392464142425,31.42857142857144,B
ASMB-R14 ,50500,300.0,15150000.0,0.7142857142857143,0.48841132168823087,88.65233596311248,32.14285714285715,B
ASMB-R32 ,434500,33.0,14338500.0,0.7142857142857143,0.4622498835661187,89.1145858466786,32.85714285714287,B
ASMB-R98 ,171318,79.2,13568385.6,0.7142857142857143,0.43742264977370027,89.55200849645229,33.571428571428584,B
ASMB-R17 ,49000,262.5,12862500.0,0.7142857142857143,0.4146660478689683,89.96667454432125,34.2857142857143,B
ASMB-R88 ,63309,199.8,12649138.200000001,0.7142857142857143,0.4077876109887188,90.37446215530997,35.000000000000014,C
ASMB-R31 ,824000,15.0,12360000.0,0.7142857142857143,0.398466266407032,90.772928421717,35.71428571428573,C
ASMB-R107 ,37921,316.8,12013372.8,0.7142857142857143,0.38729157011098636,91.16021999182799,36.428571428571445,C
ASMB-R139 ,113620,100.8,11452896.0,0.7142857142857143,0.369222711057284,91.52944270288528,37.14285714285716,C
ASMB-R28 ,151600,66.0,10005600.0,0.7142857142857143,0.32256424556328467,91.85200694844856,37.857142857142875,C
ASMB-R18 ,56017,166.5,9326830.5,0.7142857142857143,0.30068182255228404,92.15268877100084,38.57142857142859,C
ASMB-R112 ,149735,61.2,9163782.0,0.7142857142857143,0.2954254045071168,92.44811417550795,39.285714285714306,C
ASMB-R116 ,34881,259.2,9041155.2,0.7142857142857143,0.29147211622577035,92.73958629173373,40.00000000000002,C
ASMB-R37 ,33550,264.0,8857200.0,0.7142857142857143,0.2855417002281847,93.02512799196191,40.71428571428574,C
ASMB-R106 ,41820,203.4,8506188.0,0.7142857142857143,0.27422564512267783,93.2993536370846,41.42857142857145,C
ASMB-R69 ,100540,84.0,8445360.0,0.7142857142857143,0.27226464948732126,93.57161828657192,42.14285714285717,C
ASMB-R123 ,36006,225.0,8101350.0,0.7142857142857143,0.26117432745603625,93.83279261402795,42.85714285714288,C
ASMB-R73 ,29390,270.0,7935300.0,0.7142857142857143,0.25582114594010685,94.08861375996806,43.5714285714286,C
ASMB-R137 ,42543,178.2,7581162.6,0.7142857142857143,0.24440433302966233,94.33301809299772,44.28571428571431,C
ASMB-R100 ,18655,378.0,7051590.0,0.7142857142857143,0.22733177504313612,94.56034986804086,45.00000000000003,C
ASMB-R42 ,132500,51.0,6757500.0,0.7142857142857143,0.2178507924955921,94.77820066053646,45.714285714285744,C
ASMB-R46 ,30860,216.0,6665760.0,0.7142857142857143,0.21489324433376514,94.99309390487022,46.42857142857146,C
ASMB-R36 ,37000,169.5,6271500.0,0.7142857142857143,0.20218294415628646,95.19527684902651,47.142857142857174,C
ASMB-R53 ,31855,187.5,5972812.5,0.7142857142857143,0.19255374569775488,95.38783059472426,47.85714285714289,C
ASMB-R3 ,26000,225.0,5850000.0,0.7142857142857143,0.18859447075090102,95.57642506547516,48.571428571428605,C
ASMB-R136 ,10745,538.2,5782959.000000001,0.7142857142857143,0.18643317811609575,95.76285824359125,49.28571428571432,C
ASMB-R67 ,37640,148.5,5589540.0,0.7142857142857143,0.1801976646223917,95.94305590821365,50.000000000000036,C
ASMB-R79 ,22610,239.4,5412834.0,0.7142857142857143,0.174500951024356,96.11755685923801,50.71428571428575,C
ASMB-R117 ,126906,41.4,5253908.399999999,0.7142857142857143,0.1693774485592672,96.28693430779728,51.428571428571466,C
ASMB-R30 ,16500,315.0,5197500.0,0.7142857142857143,0.16755893362868515,96.45449324142596,52.14285714285718,C
ASMB-R82 ,222620,21.6,4808592.0,0.7142857142857143,0.15502117321316525,96.60951441463914,52.8571428571429,C
ASMB-R94 ,84195,55.8,4698081.0,0.7142857142857143,0.15145847858801093,96.76097289322715,53.57142857142861,C
ASMB-R66 ,9500,448.5,4260750.0,0.7142857142857143,0.13735963953023958,96.8983325327574,54.28571428571433,C
ASMB-R115 ,9784,432.0,4226688.0,0.7142857142857143,0.1362615361349033,97.0345940688923,55.00000000000004,C
ASMB-R134 ,102410,39.6,4055436.0,0.7142857142857143,0.1307406506126754,97.16533471950498,55.71428571428576,C
ASMB-R138 ,18768,216.0,4053888.0,0.7142857142857143,0.13069074561426133,97.29602546511924,56.42857142857147,C
